step,episode,success,flow_mean_px,geometry_error_m,artifact_jump_m,entropy_score,depth_rmse_m,depth_delta1,flow_epe_all_px,flow_epe_gt_nonzero_px,rgb_psnr,decoded_frame_count,flow_epe_all_quartile,rgb_warp_mae,rgb_no_warp_mae,rgb_improvement,rgb_warp_over_no_warp,depth_warp_mae,depth_no_warp_mae,depth_improvement,depth_warp_over_no_warp
1000,episode_0000,0.0,0.6795724630355835,0.08973538130521774,4.823655128479004,1.7619639656915709,22.957767807611145,0.988089442489171,0.21523237228393555,1.6470557010173799,24.738200712792267,101,4,0.01699502900775121,0.02312005759216845,0.006125028584417238,0.7350772782146066,0.08720863652144456,0.055072721168398855,-0.032135915353045705,1.583517840950667
1000,episode_0001,0.0,0.2327120006084442,0.01925024576485157,0.06731603294610977,-1.22183956703513,1.3044355724855226,0.9856115360071165,0.1437755674123764,1.7901642143726348,23.845514968586485,101,2,0.010345690768819582,0.01226405414287001,0.001918363374050427,0.8435783671087843,0.018019452951132765,0.020430063393432646,0.0024106104422998813,0.8820067076269186
1000,episode_0002,1.0,0.46439605951309204,0.03240020200610161,0.06527920067310333,-0.2853300553515768,8.859978021697161,0.9872598850980719,0.18749134242534637,1.6123747777554296,24.608461058318255,94,4,0.014123927192996329,0.018394539873766644,0.004270612680770315,0.767832589950854,0.03049865911866542,0.04023828504166456,0.00973962592299914,0.7579512667184439
1000,episode_0003,1.0,0.5367430448532104,0.034311044961214066,0.05943302437663078,-0.050182554798703816,9.528425045463504,0.9894620934311225,0.191960409283638,1.8391773241261642,25.383669345373615,49,4,0.014961241676627471,0.019542098734139774,0.004580857057512303,0.7655903226875423,0.03234023726325477,0.044419902454440795,0.012079665191186022,0.7280573678813552
1000,episode_0004,1.0,0.7358332872390747,0.082499198615551,2.1117820739746094,1.7172130293287304,31.707354449180524,0.9875471883745337,0.22728265821933746,1.7507871290047963,24.695580660432448,67,4,0.01828314599738511,0.024681856375977848,0.006398710378592739,0.7407524668379006,0.07897550547400195,0.0651843329454123,-0.013791172528589649,1.2115718901185548
1000,episode_0005,0.0,0.4419935345649719,0.03562851995229721,0.8848391771316528,-0.2584569159403409,25.79484372268809,0.9896882009978343,0.15703359246253967,1.3981094393134117,25.917572838072473,101,3,0.01184012940092281,0.01573901301715523,0.0038988836162324216,0.7522790271070372,0.03406431229187571,0.03219446952454746,-0.001869842767328253,1.05807962652854
1000,episode_0006,0.0,0.526760995388031,0.03393429517745972,0.04742725193500519,-0.08557846320369986,8.286412829588546,0.9849905486154084,0.2342052012681961,1.8357727953791618,23.802042672990325,101,4,0.01480603794560604,0.020221891030669212,0.005415853085063172,0.7321787028927472,0.03205476240754363,0.04299942766781897,0.010944665260275335,0.745469513092802
1000,episode_0007,0.0,0.4236087501049042,0.028278427198529243,0.030879411846399307,-0.4973492738657197,5.0336528469872945,0.988815458694307,0.16635741293430328,1.5521888047456742,25.41303285116801,101,3,0.01361312122571962,0.017330211794469506,0.003717090568749885,0.7855138405912839,0.026605642121577646,0.03495037236250937,0.008344730240931724,0.7612405912263125
1000,episode_0008,0.0,0.28635966777801514,0.018708277493715286,0.04510718956589699,-1.0985901215756255,2.38207675649388,0.9885194684019184,0.13056480884552002,1.4350495374202727,24.933434007674233,101,2,0.010163528498918568,0.0127952835499309,0.0026317550510123328,0.7943183485120293,0.017608296906179273,0.02091782306320965,0.0033095261570303784,0.8417843889456658
1000,episode_0009,0.0,0.3661669194698334,0.053669556975364685,2.1329715251922607,0.01814995675049602,7.038606520705294,0.9848817730894183,0.20302899181842804,2.0944130980968474,23.637701366943933,101,4,0.013398506981398328,0.016376341902650894,0.002977834921252566,0.8181623869498783,0.05202601933672209,0.03052200470585376,-0.021504014630868328,1.7045413575026274
