step,success_rate,successes,episodes,flow_mean_px,geometry_error_m,artifact_jump_m,entropy_score,depth_rmse_m,depth_delta1,flow_epe_all_px,flow_epe_gt_nonzero_px,rgb_psnr,decoded_frame_count
1000,0.3,3,10,0.46941467225551603,0.04284151494503021,1.0268690016120672,5.551115123125783e-17,12.289355357290095,0.9874865595198902,0.18569323569536209,1.6955092821231772,24.697521048235206,91.7
2000,0.6,6,10,0.5562061131000519,0.05163425952196121,0.9847089808434248,4.4408920985006264e-17,9.164617540724397,0.9896727417852583,0.16403586715459822,1.4488647889569355,25.626766965680833,70.1
3000,0.5,5,10,0.551106932759285,0.044623268954455855,0.8403502505272626,-2.0539125955565397e-16,7.933844906002896,0.9902252118823343,0.17129234820604325,1.4864279519709638,25.76896352841441,70.6
4000,0.5,5,10,0.5135669350624085,0.038798237405717376,0.5531862378120422,-1.9984014443252818e-16,9.572985845334145,0.9906989784234963,0.14810488149523734,1.2425694722358283,25.996591449363404,75.4
5000,0.5,5,10,0.5213418424129486,0.0447352010756731,0.9727324804291129,1.582067810090848e-16,7.776193519418189,0.9903878842655708,0.15117005109786988,1.3073441227372011,25.844441845296366,75.4
6000,0.9,9,10,0.5673830807209015,0.04500894211232662,0.6865438651293516,5.551115123125783e-18,7.347084856710926,0.9911175096933341,0.13783931061625482,1.2123151427540422,26.402512698003697,61.6
7000,0.5,5,10,0.5156867414712906,0.058660995215177536,1.998910743370652,2.2204460492503132e-17,8.47044355189063,0.9914320091179215,0.13323161676526069,1.1664259642868964,26.285373821562835,78.1
8000,0.4,4,10,0.5060116171836853,0.03979046624153852,1.0280290383845567,2.609024107869118e-16,7.246484817453139,0.9903745158429592,0.14680866822600364,1.2744421674574424,25.532568490443985,84.1
