step,episode,success,flow_mean_px,geometry_error_m,artifact_jump_m,entropy_score,depth_rmse_m,depth_delta1,flow_epe_all_px,flow_epe_gt_nonzero_px,rgb_psnr,decoded_frame_count
1000,episode_0000,0.0,0.6795724630355835,0.08973538130521774,4.823655128479004,1.7619639656915709,22.957767807611145,0.988089442489171,0.21523237228393555,1.6470557010173799,24.738200712792267,101
1000,episode_0001,0.0,0.2327120006084442,0.01925024576485157,0.06731603294610977,-1.22183956703513,1.3044355724855226,0.9856115360071165,0.1437755674123764,1.7901642143726348,23.845514968586485,101
1000,episode_0002,1.0,0.46439605951309204,0.03240020200610161,0.06527920067310333,-0.2853300553515768,8.859978021697161,0.9872598850980719,0.18749134242534637,1.6123747777554296,24.608461058318255,94
1000,episode_0003,1.0,0.5367430448532104,0.034311044961214066,0.05943302437663078,-0.050182554798703816,9.528425045463504,0.9894620934311225,0.191960409283638,1.8391773241261642,25.383669345373615,49
1000,episode_0004,1.0,0.7358332872390747,0.082499198615551,2.1117820739746094,1.7172130293287304,31.707354449180524,0.9875471883745337,0.22728265821933746,1.7507871290047963,24.695580660432448,67
1000,episode_0005,0.0,0.4419935345649719,0.03562851995229721,0.8848391771316528,-0.2584569159403409,25.79484372268809,0.9896882009978343,0.15703359246253967,1.3981094393134117,25.917572838072473,101
1000,episode_0006,0.0,0.526760995388031,0.03393429517745972,0.04742725193500519,-0.08557846320369986,8.286412829588546,0.9849905486154084,0.2342052012681961,1.8357727953791618,23.802042672990325,101
1000,episode_0007,0.0,0.4236087501049042,0.028278427198529243,0.030879411846399307,-0.4973492738657197,5.0336528469872945,0.988815458694307,0.16635741293430328,1.5521888047456742,25.41303285116801,101
1000,episode_0008,0.0,0.28635966777801514,0.018708277493715286,0.04510718956589699,-1.0985901215756255,2.38207675649388,0.9885194684019184,0.13056480884552002,1.4350495374202727,24.933434007674233,101
1000,episode_0009,0.0,0.3661669194698334,0.053669556975364685,2.1329715251922607,0.01814995675049602,7.038606520705294,0.9848817730894183,0.20302899181842804,2.0944130980968474,23.637701366943933,101
2000,episode_0000,1.0,0.819554328918457,0.04452327638864517,0.05050865560770035,0.39916182654649274,15.243349487781524,0.9890859375,0.20637547969818115,1.6497544159694595,25.781452164913063,50
2000,episode_0001,0.0,0.391248494386673,0.027662768959999084,0.16927267611026764,-0.660738066299471,9.611832931859068,0.988735569113552,0.1588599532842636,1.2165217462182045,25.188372187985987,101
2000,episode_0002,1.0,0.6136507391929626,0.04014042764902115,0.09361705929040909,-0.056587149331856934,8.246622213253788,0.9891333486519608,0.16339285671710968,1.3936642801761627,25.676026794839643,51
2000,episode_0003,0.0,0.48354774713516235,0.031182875856757164,0.04934098944067955,-0.43396837026069157,1.2770503406034839,0.9873848188041461,0.19929686188697815,1.668509767651558,23.795806041947944,101
2000,episode_0004,0.0,0.8035356998443604,0.0940227285027504,3.1417670249938965,1.0838251095764457,11.735200556271737,0.987613247408725,0.22264812886714935,1.6822033053636551,24.52022551197389,101
2000,episode_0005,1.0,0.6407193541526794,0.03500901907682419,0.037720829248428345,-0.0791392864122854,21.442734826429216,0.9921669155943625,0.14127807319164276,1.2992099910974502,26.956191718491162,51
2000,episode_0006,1.0,0.6784709692001343,0.17723804712295532,6.202826023101807,2.047805293611065,8.613731533288956,0.9910791015624999,0.16804197430610657,1.5579402202909642,26.473117173072346,45
2000,episode_0007,1.0,0.4380066990852356,0.023906154558062553,0.025189988315105438,-0.6259008966830898,2.290182908376058,0.9916065889246323,0.14015837013721466,1.4197961854934693,26.563732907300412,51
2000,episode_0008,0.0,0.2940865159034729,0.018356572836637497,0.043318767100572586,-0.9803757133764819,2.3789087196830474,0.9882498259591586,0.12269991636276245,1.4182277217507362,24.55052240233336,101
2000,episode_0009,1.0,0.3992405831813812,0.024300724267959595,0.03352779522538185,-0.6940827473701265,10.806561889697095,0.9916720643335458,0.11760705709457397,1.182820255557696,26.762222753950518,49
3000,episode_0000,1.0,0.7772067189216614,0.043450064957141876,0.051535602658987045,0.8066913710545702,6.837181917749918,0.9908282940204327,0.1854725480079651,1.4855092068513234,26.263095522688293,52
3000,episode_0001,1.0,0.4460168480873108,0.02629501186311245,0.057216838002204895,-0.8894592365685476,10.826137902370343,0.9929534912109373,0.10404807329177856,1.1286158510979185,27.419995125019085,48
3000,episode_0002,0.0,0.528415858745575,0.04225606098771095,0.8874717950820923,-0.1487008005923208,7.001088908403227,0.9867735003480819,0.19674313068389893,1.411120088994503,24.174830632555327,101
3000,episode_0003,1.0,0.6385770440101624,0.08288576453924179,2.406141519546509,1.3675295974897632,12.89177817879961,0.9915255033052884,0.14669305086135864,1.3724817464164658,26.43529206717784,52
3000,episode_0004,1.0,0.7740690112113953,0.04713251814246178,0.0539504811167717,0.8954401868059433,3.8064647398766924,0.9898573578381147,0.17793025076389313,1.4750910560290018,25.776274185858895,61
